CryoSleep,Age,VIP,Transported,Side,Group,Spendings,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,GroupSize,GroupMember
0,39.0,0,0,0,1,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1
0,24.0,0,1,1,2,736.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,58.0,1,0,1,3,10383.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1
0,33.0,0,0,1,3,5176.0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,2
0,16.0,0,1,1,4,1091.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,44.0,0,1,0,5,774.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
0,26.0,0,1,1,6,1584.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1
1,28.0,0,1,1,6,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,2
0,35.0,0,1,1,7,1018.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
1,14.0,0,1,0,8,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,1
1,34.0,0,1,0,8,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,2
0,45.0,0,1,0,8,8157.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,3,3
0,32.0,0,1,0,9,1309.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,48.0,0,0,1,10,809.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
0,28.0,0,1,0,11,1003.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,31.0,0,0,1,12,908.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
0,27.0,0,0,0,14,1588.5377042364116,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
0,24.0,0,0,0,15,638.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1,45.0,0,1,0,16,0.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
0,0.0,0,1,0,17,0.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1
0,14.0,0,0,0,17,1092.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2
1,1.0,0,0,1,20,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6,1
1,49.0,0,0,1,20,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,2
1,29.0,0,0,1,20,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,6,3
0,10.0,0,1,1,20,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6,4
1,1.0,0,0,1,20,0.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,6,5
0,7.0,0,0,1,20,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,6,6
0,21.0,0,0,0,22,1051.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
1,62.0,0,1,1,24,0.0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
